episode,reward,running_avg,steps
0,-34.2299478616079,-34.2299478616079,73
1,-89.70403813284602,-89.70403813284602,121
2,-213.03427764934477,-213.03427764934477,74
3,-181.77495564655618,-181.77495564655618,95
4,-109.37196614231496,-109.37196614231496,67
5,-251.58688894497328,-251.58688894497328,122
6,-123.54693783229186,-123.54693783229186,121
7,-439.3234522337975,-439.3234522337975,90
8,-220.18423673499882,-220.18423673499882,92
9,-87.32359846080806,-87.32359846080806,63
10,-151.74952333215913,-151.74952333215913,59
11,-59.23128794731876,-59.23128794731876,72
12,-135.63357823273395,-135.63357823273395,77
13,-221.62328879599954,-221.62328879599954,90
14,-107.55145759168971,-107.55145759168971,62
15,-148.90843295017817,-148.90843295017817,84
16,-100.54209879942162,-100.54209879942162,90
17,-178.19789532574663,-178.19789532574663,67
18,-360.88603030809855,-360.88603030809855,190
19,-120.95344701671587,-120.95344701671587,64
20,-127.55843184015887,-127.55843184015887,107
21,-101.3480406712429,-101.3480406712429,69
22,-350.55447248167457,-350.55447248167457,109
23,-106.74231630334518,-106.74231630334518,68
24,-105.44242174616683,-105.44242174616683,82
25,-106.0748563945018,-106.0748563945018,87
26,-40.47524932286242,-40.47524932286242,69
27,-270.6313357169339,-270.6313357169339,115
28,-88.1872427024036,-88.1872427024036,127
29,-210.29002066815906,-210.29002066815906,111
30,-239.78016532583644,-239.78016532583644,107
31,-120.9943218601014,-120.9943218601014,104
32,-126.82941907186807,-126.82941907186807,90
33,-110.39274599988647,-110.39274599988647,68
34,-111.7528177427212,-111.7528177427212,75
35,-36.737002097281305,-36.737002097281305,106
36,-121.94800305225749,-121.94800305225749,85
37,-252.25278713739976,-252.25278713739976,107
38,-203.37785324068605,-203.37785324068605,78
39,-51.55341676854452,-51.55341676854452,61
40,-88.52900903931473,-88.52900903931473,95
41,-84.30965073759963,-84.30965073759963,75
42,-188.33451937986896,-188.33451937986896,78
43,-261.8469624480658,-261.8469624480658,101
44,-48.92947840829974,-48.92947840829974,75
45,-210.7058594986703,-210.7058594986703,72
46,-145.06890991473347,-145.06890991473347,102
47,-76.82109677765516,-76.82109677765516,102
48,-198.5328904818484,-198.5328904818484,128
49,-206.74266648366506,-154.5620260650671,116
50,-166.57579130213827,-157.2089429338777,108
51,-340.0764059450614,-162.216390290122,108
52,-233.24554831378688,-162.62061570341083,81
53,-167.15212456091308,-162.32815908169798,135
54,-305.0134754596588,-166.24098926804484,110
55,-95.00836829219615,-163.1094188549893,124
56,-68.47299470079992,-162.0079399923594,87
57,-25.260590982201364,-153.7266827673275,123
58,-102.6004191896039,-151.3750064164196,129
59,-225.95545019922542,-154.14764345118795,114
60,-113.89465903332696,-153.39054616521133,112
61,-176.94158721311854,-155.74475215052735,112
62,-86.01572642523186,-154.75239511437732,85
63,-97.48847992553884,-152.2696989369681,88
64,-33.19665233933023,-150.7826028319209,57
65,-357.7914487634884,-154.96026314818715,149
66,10.21709541228256,-152.74507926395307,116
67,-244.4647974590907,-154.07041730662,89
68,-131.24609319771784,-149.47761856441238,96
69,-65.00061275678426,-148.35856187921374,100
70,-438.6969294176307,-154.58133183076316,95
71,-136.3781516673842,-155.281934050686,112
72,-51.08584525133397,-149.29256150607918,87
73,-116.18485689908222,-149.48141231799391,86
74,-151.72471404142607,-150.40705816389908,89
75,-300.5113500710015,-154.29578803742908,72
76,-144.5547443355387,-156.37737793768258,75
77,-147.4452804721647,-153.91365683278715,77
78,-142.12777373776635,-154.9924674534944,91
79,-144.7449357393295,-153.68156575491784,118
80,-114.06028811426668,-151.16716821068644,105
81,-65.69928268664634,-150.06126742721733,68
82,-120.28222956206571,-149.9303236370213,120
83,-280.9897292815104,-153.34226330265378,122
84,-39.09928947345372,-151.88919273726847,122
85,-235.6261721410697,-155.86697613814425,123
86,-85.05832929320405,-155.1291826629632,136
87,-78.3156254444952,-151.65043942910506,91
88,-138.29086133367116,-150.34869959096477,89
89,-389.4465080486891,-157.10656141656767,131
90,-340.11498598095045,-162.1382809554004,109
91,-108.39041857102833,-162.619896312069,87
92,-67.99214555298008,-160.2130488355312,138
93,-79.9772476659391,-156.57565453988863,68
94,-162.10911888445324,-158.8392473494117,66
95,-144.91964788919327,-157.52352311722214,72
96,-155.54146625402353,-157.73297424400798,87
97,-277.6946851904589,-161.750446012264,78
98,-111.6049812992166,-160.01188782861135,65
99,-129.8273240541007,-158.47358098002005,119
100,-114.0208752845393,-157.42248265966808,86
101,-185.78956613276512,-154.33674586342215,115
102,-100.57726556779077,-151.6833802085022,88
103,-145.69425345869857,-151.25422278645794,123
104,-107.73760857017173,-147.3087054486682,86
105,-105.0932883020931,-147.51040384886616,74
106,-115.2256196054507,-148.44545634695916,98
107,-36.312068309658585,-148.6664858935083,112
108,-66.80340012571301,-147.9505455122305,130
109,-67.79041336145525,-144.7872447754751,98
110,-12.473418195224752,-142.75881995871305,69
111,-94.62209824314233,-141.11243017931355,96
112,-80.7578459040315,-141.00727256888956,96
113,-335.8703227208525,-145.7749094247958,95
114,-20.67183609985682,-145.5244131000063,79
115,-60.01697038803644,-139.56892353249734,71
116,-111.52931128987427,-142.00385166654047,99
117,-123.68064554440573,-139.58816862824676,112
118,-192.17209345390907,-140.80668863337058,102
119,-80.15442172619966,-141.1097648127589,134
120,-104.08891926349006,-134.41760460967606,84
121,-33.34515553238826,-132.35694468697614,80
122,-114.57099188056452,-133.62664761956074,102
123,-72.8785748748029,-132.76052197907515,157
124,-83.49183323948387,-131.3958643630363,86
125,-45.528158189522664,-126.29620052540673,105
126,-84.02314098552347,-125.08556845840641,87
127,-40.98023554623235,-122.95626755988778,71
128,-29.729542800135334,-120.70830294113516,158
129,-69.592166920934,-119.20524756476725,132
130,-68.97458619729119,-118.30353352642773,125
131,-98.14374099626018,-118.95242269262002,100
132,-108.58630934978959,-118.71850428837452,104
133,-214.45463623378095,-117.38780242741993,152
134,-107.34867355347535,-118.75279010902035,73
135,-50.17494373426949,-115.04376554088434,131
136,-105.0518974159633,-115.44363690333952,108
137,-141.74355582410217,-116.71219551093166,124
138,-91.23094393782677,-115.77099716301478,74
139,-86.49623237710878,-109.71199164958318,123
140,-72.87880786323538,-104.3672680872289,66
141,-66.88432021548753,-103.53714612011807,129
142,-44.94711967348955,-103.07624560252826,69
143,-53.0023207635694,-102.53674706448086,80
144,-114.73696835420053,-101.5893040538758,128
145,-100.04475365720548,-100.69180616923605,180
146,-65.14245196211255,-98.8838258833978,148
147,-72.41973335398549,-94.77832684666834,122
148,-87.94381203960765,-94.30510346147616,112
149,-74.07529329635844,-93.19006284632133,79
150,-61.47831137626385,-92.13921156815582,106
151,-111.09768972428074,-90.64537403998615,138
152,-100.42468886951453,-90.64232250602062,132
153,-74.10651051026203,-89.21056764705187,100
154,-260.7614793791274,-92.27104506323099,102
155,-89.39192229614706,-91.95701774311206,83
156,-35.71051238673925,-90.36671559873783,126
157,-68.10718655511332,-91.00261796364693,113
158,-99.21250972124824,-91.65080015555762,101
159,-56.13131264127292,-91.41761814115398,76
160,-104.53662861949192,-93.25888234963932,111
161,-140.33200891180917,-94.17308056301266,127
162,-51.16704885877715,-93.58126462210757,88
163,-220.63034205315756,-91.27646500875366,104
164,-60.373114712686,-92.07049058101025,154
165,-76.72667456942136,-92.40468466463794,155
166,-173.73260625724365,-93.64875056398532,113
167,-259.2289177667359,-96.35971600843193,154
168,-51.372254791095216,-93.54371923517567,71
169,-39.80735928779539,-92.73677798640759,87
170,-97.90739426717789,-92.61314748648135,129
171,-44.83487246405406,-92.84294182511466,76
172,-221.99457259543277,-94.99141343941203,108
173,-108.75557006154496,-95.70895334314686,141
174,-50.21050912643325,-95.04332686088586,143
175,-47.82450086961513,-95.0892537144877,120
176,-113.25316696783912,-95.67385423413403,101
177,-32.6035476519874,-95.50632047624914,130
178,-152.38667096332966,-97.95946303951303,118
179,-77.22158004762352,-98.1120513020468,166
180,-81.73049266031072,-98.36716943130719,67
181,-180.7539157967184,-100.01937292731635,98
182,-66.24898951818699,-99.17262653068431,71
183,-79.5435887839638,-96.47440558168796,144
184,-69.21936048933829,-95.71181932040523,131
185,-78.35402276532861,-96.27540090102639,91
186,-81.85321010377595,-95.81142715478265,68
187,-4.896530810180309,-93.07448665450421,91
188,-226.85007596396622,-95.786869295027,141
189,-51.375630985658844,-95.08445726719802,138
190,3.9667134820509915,-93.54754684029228,170
191,-39.9207789767962,-93.00827601551848,149
192,-42.034219916413115,-92.95001802037694,102
193,-127.46440713370595,-94.43925974777967,112
194,-37.18750501306953,-92.88827048095705,97
195,-82.21506514266386,-92.53167671066622,145
196,-28.277465838092894,-91.79437698818583,92
197,-72.88921405035983,-91.80376660211331,71
198,32.920813475306204,-89.38647409181505,113
199,-62.629955469236535,-89.1575673352726,170
200,-117.17996709187899,-90.27160044958491,119
201,-29.956320530800085,-88.64877306571529,238
